condition,alpha_c_a,alpha_c_b,gen-unified_inf-unified,gen-unified_inf-separate,gen-separate_inf-unified,gen-separate_inf-separate,omega_a_check,omega_b_check,omega_a,omega_b
alpha_low,0.01,0.01,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
alpha_baseline,0.05,0.05,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
alpha_high,0.2,0.2,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
alpha_very_high,0.5,0.5,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
alpha_asym_a_strong,0.2,0.01,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
alpha_asym_b_strong,0.01,0.2,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,,
omega_local_low,,,477.7142333984375,592.2787475585938,482.81573486328125,591.4409790039062,-6.0,-6.0,,
omega_local_baseline,,,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,-3.0,-3.0,,
omega_local_high,,,1176.5020751953125,1420.53271484375,1187.5048828125,1430.09716796875,-1.0,-1.0,,
omega_state_very_low,,,850.9425048828125,1025.324462890625,873.9588012695312,1048.231201171875,,,-10.0,-10.0
omega_state_low,,,923.768310546875,1099.5628662109375,953.7669067382812,1129.925537109375,,,-8.0,-8.0
omega_state_baseline,,,814.9970703125,996.746337890625,822.6205444335938,998.9999389648438,,,-2.0,-2.0
omega_state_high,,,inf,inf,657.530029296875,827.0524291992188,,,0.0,0.0
